threshold,hybrid_token_f1,hybrid_fuzzy,extractive_count,generative_count,extractive_rate
-6.890625,0.5914556695039701,0.7449662038392584,160,0,1.0
-6.15234375,0.5917634346554852,0.7454302796939593,159,1,0.99375
-6.07421875,0.5913846467766973,0.7452691852813105,158,2,0.9875
-6.03515625,0.5972775039195544,0.7495009561146438,157,3,0.98125
-5.9609375,0.6021386150306656,0.7525819420301367,156,4,0.975
-5.61328125,0.6050260419312503,0.7555743662725609,155,5,0.96875
-5.5703125,0.6044578601130686,0.7548239285172038,154,6,0.9625
-5.53515625,0.600771962677171,0.7523239285172038,153,7,0.95625
-5.4140625,0.60044301530875,0.753229725618653,152,8,0.95
-5.20703125,0.60044301530875,0.753229725618653,151,9,0.94375
-5.14453125,0.6016930153087501,0.7544316486955761,150,10,0.9375
-4.74609375,0.6016930153087501,0.7541116495390664,149,11,0.93125
-4.12890625,0.6079430153087501,0.7582104867483688,148,12,0.925
-4.0625,0.61419301530875,0.762993350598134,147,13,0.91875
-4.05078125,0.6135881765990726,0.7626395770132284,146,14,0.9125
-3.849609375,0.6112855450201252,0.7619042828955813,145,15,0.90625
-3.755859375,0.605373382857963,0.7580249725507537,144,16,0.9
-3.638671875,0.6060701733985037,0.7598204581868686,143,17,0.89375
-3.58203125,0.6107473802496235,0.7638175512101244,142,18,0.8875
-3.296875,0.6106377311268165,0.7638175512101244,141,19,0.88125
-3.26953125,0.6161524370091696,0.7669793159160069,140,20,0.875
-3.255859375,0.6219024370091695,0.7701043159160068,139,21,0.86875
-2.94140625,0.6187774370091695,0.7696711475991751,138,22,0.8625
-2.8984375,0.6250274370091695,0.7734353521446297,137,23,0.85625
-2.873046875,0.6233827001670642,0.7734353521446297,136,24,0.85
-2.8359375,0.6214090159565379,0.7699829711922487,135,25,0.84375
-2.8203125,0.6181352064327283,0.76750281246209,134,26,0.8375
-2.712890625,0.6233076202258319,0.7714702921368868,133,27,0.83125
-2.6484375,0.629178832347044,0.7752202921368868,132,28,0.825
-2.61328125,0.6255803474985591,0.7752202921368868,131,29,0.81875
-2.509765625,0.6314515596197712,0.7789702921368867,130,30,0.8125
-2.486328125,0.6346658453340569,0.7826600511730313,129,31,0.80625
-2.3828125,0.6351420358102474,0.7827400015711516,128,32,0.8
-2.34375,0.6406567416926003,0.7864084798320212,127,33,0.79375
-2.298828125,0.6425506810865398,0.7879709798320211,126,34,0.7875
-2.205078125,0.6379673477532064,0.7858876464986879,125,35,0.78125
-2.021484375,0.6364048477532064,0.7855025754086405,124,36,0.775
-1.9912109375,0.6354673477532065,0.7855025754086405,123,37,0.76875
-1.9375,0.6359273044631631,0.7857661873718307,122,38,0.7625
-1.8251953125,0.6348856377964964,0.7857661873718307,121,39,0.75625
-1.7314453125,0.6345689148235235,0.7857661873718307,120,40,0.75
-1.6884765625,0.6374746165779095,0.789423594779238,119,41,0.74375
-1.63671875,0.6410237237207667,0.7924687866753717,118,42,0.7375
-1.6357421875,0.6465237237207666,0.7964942104041851,117,43,0.73125
-1.5712890625,0.6414455987207666,0.7939206809924204,116,44,0.725
-1.546875,0.6453371081547289,0.7962644309924205,115,45,0.71875
-1.53125,0.6470603319087055,0.7983034705818632,114,46,0.7125
-1.4833984375,0.6513406349390085,0.8019371915120959,113,47,0.70625
-1.44140625,0.6564001587485324,0.8056045468839967,112,48,0.7
-1.431640625,0.6620819769303505,0.8091272741567239,111,49,0.69375
-1.4150390625,0.665560483717681,0.8134311663722927,110,50,0.6875
-1.3818359375,0.665560483717681,0.8134311663722927,109,51,0.68125
-1.3759765625,0.6674377730949702,0.8151881259792797,108,52,0.675
-1.3232421875,0.6677667204633913,0.8151881259792797,107,53,0.66875
-1.1875,0.6654640888844439,0.8138799864443961,106,54,0.6625
-1.1220703125,0.6711585333288883,0.8178340680770491,105,55,0.65625
-1.1103515625,0.6745408862700648,0.820077775873243,104,56,0.65
-1.015625,0.6799712892004678,0.8237504562856142,103,57,0.64375
-0.93994140625,0.6845167437459223,0.8275750831512859,102,58,0.6375
-0.9375,0.6808983226932906,0.8260978104240131,101,59,0.63125
-0.92578125,0.6808983226932906,0.8260978104240131,100,60,0.625
-0.8955078125,0.6808983226932906,0.8260978104240131,99,61,0.61875
-0.88330078125,0.6761634742084421,0.8230656322061913,98,62,0.6125
-0.86083984375,0.6767069524693119,0.823150987102867,97,63,0.60625
-0.79443359375,0.6825893054104883,0.8270037268288943,96,64,0.6
