loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.1012,1.171875,0.00013846153846153847,0.9386307999491692,76611.0,0.6726697027683258,0.2,10,,,,,
0.9262,1.1640625,0.0001996838839014696,0.9238509491086007,153454.0,0.7160390540957451,0.4,20,,,,,
0.8025,1.078125,0.00019775929623700318,0.8553627669811249,229752.0,0.757181265950203,0.6,30,,,,,
0.7377,0.84765625,0.00019411946776161387,0.8243908479809761,307051.0,0.7743641525506973,0.8,40,,,,,
0.6793,0.9609375,0.0001888282612749132,0.7642093360424042,383642.0,0.796069847047329,1.0,50,,,,,
0.5584,1.0234375,0.00018197851391520264,0.7027533426880836,460338.0,0.8315438479185104,1.2,60,,,,,
0.5228,1.4375,0.00017369040828064047,0.6802796632051468,536824.0,0.8440549328923226,1.4,70,,,,,
0.4918,1.0625,0.000164109363759222,0.6600551679730415,613978.0,0.8490523293614387,1.6,80,,,,,
0.4644,1.234375,0.00015340348506535283,0.6459306880831719,690618.0,0.8588640466332436,1.8,90,,,,,
0.4058,1.515625,0.00014176061274984858,0.6368139296770096,767284.0,0.8736952349543572,2.0,100,,,,,
0.3005,1.5625,0.00012938502743379212,0.5996978759765625,843555.0,0.9095433279871941,2.2,110,,,,,
0.2605,1.46875,0.00011649386559228341,0.5842779740691185,920635.0,0.9196208491921425,2.4,120,,,,,
0.2516,1.2734375,0.00010331330977513509,0.5708715945482254,997623.0,0.9265357419848442,2.6,130,,,,,
0.2303,1.5078125,9.007462010919386e-05,0.5668802291154862,1073932.0,0.9329850628972054,2.8,140,,,,,
0.2122,1.25,7.701007671177067e-05,0.5557318091392517,1150926.0,0.9394462421536446,3.0,150,,,,,
0.1286,1.265625,6.434890420777491e-05,0.5365889832377434,1227429.0,0.9677778586745263,3.2,160,,,,,
0.1087,1.3203125,5.2313249857149414e-05,0.5185755461454391,1304263.0,0.9723687171936035,3.4,170,,,,,
0.1035,1.0234375,4.1114285858580045e-05,0.5061129048466683,1380915.0,0.9745046406984329,3.6,180,,,,,
0.0962,0.97265625,3.094850421671295e-05,0.5071805886924267,1458005.0,0.9759472623467446,3.8,190,,,,,
0.0957,1.0390625,2.19942691814788e-05,0.5085376255214215,1534568.0,0.9759076923131943,4.0,200,,,,,
0.0597,0.71484375,1.4408687748879156e-05,0.5044823095202446,1610806.0,0.9891951307654381,4.2,210,,,,,
0.0597,0.80078125,8.3248531320263e-06,0.4979806743562222,1687765.0,0.9883256271481514,4.4,220,,,,,
0.0582,0.75,3.849509567257959e-06,0.4994117937982082,1764652.0,0.9885452032089234,4.6,230,,,,,
0.0577,0.74609375,1.0611794275930399e-06,0.4976708389818668,1841497.0,0.9890568256378174,4.8,240,,,,,
0.0573,0.82421875,8.785504356556563e-09,0.4985335975885391,1918210.0,0.9898639678955078,5.0,250,,,,,
,,,,,,5.0,250,7730.7858,0.517,0.032,1.1977834898128896e+16,0.3508322377204895
