threshold,hybrid_token_f1,hybrid_fuzzy,extractive_count,generative_count,extractive_rate
-6.890625,0.5914556695039701,0.7449662038392584,160,0,1.0
-6.15234375,0.5913294068777074,0.7446574847805393,159,1,0.99375
-6.07421875,0.5909506189989195,0.7444963903678905,158,2,0.9875
-6.03515625,0.594879190427491,0.7484067326297954,157,3,0.98125
-5.9609375,0.599740301538602,0.7514877185452883,156,4,0.975
-5.61328125,0.6035238264428167,0.7541941950752943,155,5,0.96875
-5.5703125,0.6029556446246348,0.7534632188090843,154,6,0.9625
-5.53515625,0.5994400196246348,0.750670665617595,153,7,0.95625
-5.4140625,0.5991658968176172,0.7501875738301553,152,8,0.95
-5.20703125,0.5991658968176172,0.7501875738301553,151,9,0.94375
-5.14453125,0.5996288597805802,0.7509926715102531,150,10,0.9375
-4.74609375,0.5996288597805802,0.7510527785006961,149,11,0.93125
-4.12890625,0.6052209650437381,0.7550763145051791,148,12,0.925
-4.0625,0.6114709650437381,0.7598591783549443,147,13,0.91875
-4.05078125,0.6108661263340607,0.7595054047700386,146,14,0.9125
-3.849609375,0.6085634947551133,0.7587701106523916,145,15,0.90625
-3.755859375,0.6023134947551133,0.7549367773190582,144,16,0.9
-3.638671875,0.6021249171689064,0.7545152086916073,143,17,0.89375
-3.58203125,0.6068021240200263,0.7585123017148631,142,18,0.8875
-3.296875,0.6054434283678525,0.7585123017148631,141,19,0.88125
-3.26953125,0.6109581342502054,0.7616740664207454,140,20,0.875
-3.255859375,0.6167081342502053,0.7647990664207455,139,21,0.86875
-2.94140625,0.6141618379539091,0.7643658981039138,138,22,0.8625
-2.8984375,0.6204118379539091,0.7681301026493682,137,23,0.85625
-2.873046875,0.6187671011118038,0.7681301026493682,136,24,0.85
-2.8359375,0.6167934169012775,0.7646777216969873,135,25,0.84375
-2.8203125,0.613519607377468,0.7621975629668286,134,26,0.8375
-2.712890625,0.6186920211705715,0.7661650426416253,133,27,0.83125
-2.6484375,0.6237619512405015,0.7698440199143526,132,28,0.825
-2.61328125,0.6175119512405015,0.765763441401956,131,29,0.81875
-2.509765625,0.6225818813104316,0.7694424186746831,130,30,0.8125
-2.486328125,0.6257961670247173,0.7731321777108278,129,31,0.80625
-2.3828125,0.6236334686120188,0.7714955164996985,128,32,0.8
-2.34375,0.6291481744943719,0.7751639947605681,127,33,0.79375
-2.298828125,0.6310421138883112,0.7767264947605681,126,34,0.7875
-2.205078125,0.6267151908113882,0.7746431614272347,125,35,0.78125
-2.021484375,0.6255327583789557,0.7744225731919405,124,36,0.775
-1.9912109375,0.6245952583789557,0.7744225731919405,123,37,0.76875
-1.9375,0.6250552150889124,0.7746861851551309,122,38,0.7625
-1.8251953125,0.6240135484222458,0.7746861851551309,121,39,0.75625
-1.7314453125,0.6225626555651029,0.7735979498610132,120,40,0.75
-1.6884765625,0.623753131755579,0.7748515111145744,119,41,0.74375
-1.63671875,0.6273022388984362,0.7778967030107079,118,42,0.7375
-1.6357421875,0.6328022388984362,0.7819221267395214,117,43,0.73125
-1.5712890625,0.6270957171593058,0.7780721267395214,116,44,0.725
-1.546875,0.6303293318564259,0.7803405755347022,115,45,0.71875
-1.53125,0.6295053486867205,0.7800516930462229,114,46,0.7125
-1.4833984375,0.6337856517170235,0.7836854139764554,113,47,0.70625
-1.44140625,0.6388451755265473,0.7873527693483563,112,48,0.7
-1.431640625,0.6439588118901837,0.7907575720927816,111,49,0.69375
-1.4150390625,0.6469565494467447,0.7946447976416839,110,50,0.6875
-1.3818359375,0.6463883676285629,0.7945761163230027,109,51,0.68125
-1.3759765625,0.6482656570058524,0.7963330759299896,108,52,0.675
-1.3232421875,0.6485946043742734,0.7963330759299896,107,53,0.66875
-1.1875,0.646291972795326,0.7950249363951059,106,54,0.6625
-1.1220703125,0.6519864172397705,0.798979018027759,105,55,0.65625
-1.1103515625,0.6553687701809469,0.8012227258239528,104,56,0.65
-1.015625,0.6607991731113498,0.804895406236324,103,57,0.64375
-0.93994140625,0.6653446276568044,0.8087200331019957,102,58,0.6375
-0.9375,0.6617262066041728,0.807242760374723,101,59,0.63125
-0.92578125,0.6617262066041728,0.807242760374723,100,60,0.625
-0.8955078125,0.6617262066041728,0.807242760374723,99,61,0.61875
-0.88330078125,0.6571066413867814,0.8040749521555448,98,62,0.6125
-0.86083984375,0.657650119647651,0.8041603070522203,97,63,0.60625
-0.79443359375,0.6624888293250704,0.8076592731933422,96,64,0.6
-0.75390625,0.6614112431181739,0.8073428174971398,95,65,0.59375
-0.62353515625,0.6578786344225216,0.8052594841638063,94,66,0.5875
-0.58056640625,0.657371877665765,0.8052594841638063,93,67,0.58125
-0.5634765625,0.6564790205229079,0.8052594841638063,92,68,0.575
